2019-08-14T03:03:38+00:00 CRITICAL The PHP GD extension is required, but is not installed.
2019-08-14T03:03:41+00:00 CRITICAL The PHP GD extension is required, but is not installed.
2019-08-14T03:04:33+00:00 CRITICAL Exception: The PHP GD extension is required, but is not installed.
2019-08-14T03:04:48+00:00 CRITICAL Exception: The PHP GD extension is required, but is not installed.
2019-08-14T03:09:10+00:00 CRITICAL Exception: The PHP GD extension is required, but is not installed.
2019-08-14T03:10:24+00:00 CRITICAL The PHP GD extension is required, but is not installed.
2019-08-14T03:10:26+00:00 CRITICAL The PHP GD extension is required, but is not installed.
2019-08-14T03:10:53+00:00 CRITICAL Exception: The PHP GD extension is required, but is not installed.
2019-08-14T03:12:18+00:00 CRITICAL The PHP GD extension is required, but is not installed.
2019-08-14T03:12:21+00:00 CRITICAL The PHP GD extension is required, but is not installed.
2019-08-14T03:12:45+00:00 CRITICAL Exception: The PHP GD extension is required, but is not installed.
2019-08-14T03:15:19+00:00 CRITICAL The PHP GD extension is required, but is not installed.
2019-08-14T03:15:22+00:00 CRITICAL The PHP GD extension is required, but is not installed.
2019-08-14T03:15:54+00:00 CRITICAL Exception: The PHP GD extension is required, but is not installed.
2019-08-14T03:18:23+00:00 CRITICAL The PHP GD extension is required, but is not installed.
2019-08-14T03:18:26+00:00 CRITICAL The PHP GD extension is required, but is not installed.
2019-08-14T03:20:03+00:00 CRITICAL Exception: The PHP GD extension is required, but is not installed.
2019-08-14T03:24:18+00:00 CRITICAL Exception: The PHP GD extension is required, but is not installed.
2019-08-14T03:24:20+00:00 CRITICAL Exception: The PHP GD extension is required, but is not installed.
2019-08-14T03:25:23+00:00 CRITICAL Exception: The PHP GD extension is required, but is not installed.
2019-08-14T03:26:28+00:00 CRITICAL Exception: The PHP GD extension is required, but is not installed.
2019-08-14T03:27:50+00:00 CRITICAL Exception: The PHP GD extension is required, but is not installed.
2019-08-14T03:28:34+00:00 CRITICAL The PHP GD extension is required, but is not installed.
2019-08-14T03:28:37+00:00 CRITICAL The PHP GD extension is required, but is not installed.
2019-08-14T03:28:43+00:00 CRITICAL Exception: The PHP GD extension is required, but is not installed.
2019-08-14T03:32:19+00:00 CRITICAL Exception: The PHP GD extension is required, but is not installed.
2019-08-14T03:32:22+00:00 CRITICAL Exception: The PHP GD extension is required, but is not installed.
2019-08-14T03:32:23+00:00 CRITICAL Exception: The PHP GD extension is required, but is not installed.
2019-08-14T03:32:24+00:00 CRITICAL Exception: The PHP GD extension is required, but is not installed.
2019-08-14T03:32:25+00:00 CRITICAL Exception: The PHP GD extension is required, but is not installed.
2019-08-14T03:33:30+00:00 CRITICAL Exception: The PHP GD extension is required, but is not installed.
2019-08-14T03:35:29+00:00 CRITICAL The PHP GD extension is required, but is not installed.
2019-08-14T03:35:31+00:00 CRITICAL The PHP GD extension is required, but is not installed.
2019-08-14T03:36:19+00:00 CRITICAL Exception: The PHP GD extension is required, but is not installed.
